Component,Mean_m,RMS_m,Std_m
East,33.295188,34.881563,10.399706
North,3.472336,6.705936,5.736938
Up,52.645125,66.039330,39.870841
2D,33.983300,35.520318,10.335777
3D,66.340492,74.985906,34.954618
PDOP_mean,1.317657,1.298207,0.111752
HDOP_mean,0.654911,0.643382,0.054589
VDOP_mean,1.142581,1.142999,0.106445
